FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,BASE_DE
솟대나라,인천광역시 강화군 불은면 강화동로 519 연호정,28,28710,126.481387,37.682372,인천,2021-12-31
낙화민화공방,인천광역시 남동구 용천로 129,28,28200,126.714411,37.461204,인천,2021-12-31
지천년배첩공방,인천광역시 중구 신포로15번길 69-2,28,28110,126.620853,37.472313,인천,2021-12-31
명장의 집,인천광역시 강화군 삼산면 삼산북로449번길 16,28,28710,126.321645,37.702496,인천,2021-12-31
완초장,인천광역시 강화군 강화읍 충렬사로22번길 8-1,28,28710,126.485954,37.737597,인천,2021-12-31
김종숙 공예원,대구광역시 중구 국채보상로 470 대신지하상가,27,27110,128.582236,35.870797,대구,2021-12-31
류가네,대구광역시 서구 국채보상로 433,27,27170,128.578342,35.871293,대구,2021-12-31
반월공예,대구광역시 동구 반야월로 130,27,27140,128.702636,35.87283,대구,2021-12-31
담은코리아,대구광역시 서구 국채보상로 433 4층,27,27170,128.578342,35.871293,대구,2021-12-31
짚풀나라,대구광역시 북구 한강로 86 1층상가,27,27230,128.518942,35.896738,대구,2021-12-31
손길공방,광주광역시 동구 경양로 362-1,29,29110,126.928983,35.153775,광주,2021-12-31
하늘물빛 천연염색 공방,광주광역시 서구 화정로 245-1 광주축협,29,29140,126.883743,35.147372,광주,2021-12-31
다올보자기,대전광역시 유성구 엑스포로 448 엑스포아파트 1단지,30,30200,127.40775,36.399726,대전,2021-12-31
조선빈티지,대전광역시 유성구 유성대로1689번길 8-7 204호,30,30200,127.397479,36.400206,대전,2021-12-31
사임당우리매듭,대전광역시 유성구 어은로 57 한빛아파트,30,30200,127.355597,36.364785,대전,2021-12-31
한지하우스,대전광역시 대덕구 덕암북로22번길 46 2층,30,30230,127.421537,36.445405,대전,2021-12-31
우리세계,부산광역시 중구 중앙대로 21,26,26110,129.036201,35.099426,부산,2021-12-31
꽃바늘,부산광역시 연제구 거제대로252번길 7 2층,26,26470,129.076012,35.189299,부산,2021-12-31
